Code|Label|Description|Year|Reference
Ceres|Ceres|The largest object in the asteroid belt, a dwarf planet with a rocky surface and possible water-ice beneath.|1801|Giuseppe Piazzi
Earth|Earth|The only planet known to support life, with oceans and land.|1543|De Revolutionibus Orbium Coelestium, Nicolás Copérnico
Jup|Jupiter|Massive gas giant with a Great Red Spot storm.||
Kepler|Kepler-186f|An Earth-sized planet in the habitable zone of its star Kepler 186.|2014|NASA-Kepler Telescope
Mars|Mars|Red, dusty, and potentially home to ancient water.||
Mer|Mercury|Small, rocky, and closest to the Sun||
Nep|Neptune|Cold, blue ice giant with strong winds.|1846|Urbain LeVerrier, “Account of the Discovery of the Planet of Le Verrier at Berlin”, Monthly Notices of the Royal Astronomical Society, Vol. 7, No. 9, pp. 153–157.
Planet|Planet|Model of planet according to the IAU|2006|IAU
Pluto|Pluto|A small, icy dwarf planet in the Kuiper Belt, with a highly elliptical orbit.|1930|Tombaugh, Clyde W.; «The Search for the Ninth Planet, Pluto.» Astronomical Society of the Pacific Leaflets, Vol. 5, No. 209 , pp. 73-80.
Sat|Saturn|Gas giant with prominent, beautiful rings.||
Sun|Sun|A massive, glowing ball of hot plasma, the central star of our solar system, providing heat and light to support life on Earth through nuclear fusion at its core.||
Uran|Uranus|Ice giant tilted on its side, with faint rings.|1781|Herschel, William; «Account of a Comet. By Mr. Herschel, F. R. S.; communicated by Dr. Watson, Jun. of Bath, F. R. S.» Philosophical Transactions of the Royal Society of London, Vol. 71, pp. 492-501.
Ven|Venus|Hot, with thick clouds and extreme greenhouse effect.||
